C0,C1,C2,C3,C4,TAPS,COEFFICIENT_SUM,COARSE_WORST_PASS_DB,COARSE_WORST_STOP_DB,SEARCH_VECTOR_PEAK,PRECISE_WORST_PASS_DB,PRECISE_WORST_STOP_DB,PASS
-468,-2743,843,19133,32061,9,65591,0.0228876761992903,72.3933097484826,NaN,0.0226702878538353,72.3925917901628,0
-475,-2693,691,19093,32319,9,65551,0.0230116195748531,71.226352070649,NaN,NaN,NaN,0
-891,-2746,2306,19129,29979,9,65575,0.0230279543422853,72.3944777132428,NaN,NaN,NaN,0
-931,-2714,2475,19118,29724,9,65620,0.0231130839566868,72.3951530050583,NaN,NaN,NaN,0
-964,-2671,2599,19088,29559,9,65663,0.0233420632360392,72.3959339105257,NaN,NaN,NaN,0
-484,-2672,877,19086,32030,9,65644,0.0234025917261857,72.3944416237408,NaN,NaN,NaN,0
-494,-2787,780,19149,32172,9,65468,0.0234493052145676,72.3926740881024,NaN,NaN,NaN,0
-900,-2718,2459,19118,29739,9,65657,0.0236422804519534,72.3960478818973,NaN,NaN,NaN,0
-929,-2731,2557,19131,29587,9,65643,0.0236754189309882,71.7640666890586,NaN,NaN,NaN,0
-936,-2773,2414,19136,29836,9,65518,0.0237470993905371,71.4146771738648,NaN,NaN,NaN,0
-963,-2758,2360,19170,30012,9,65630,0.0239118815953112,72.3727832302948,NaN,NaN,NaN,0
-431,-2744,655,19118,32355,9,65551,0.0240478187283573,72.3940237158887,NaN,NaN,NaN,0
-936,-2692,2437,19099,29790,9,65606,0.0240817090359935,72.3960465930669,NaN,NaN,NaN,0
-940,-2739,2203,19162,30255,9,65627,0.0240856147948116,71.628690958045,NaN,NaN,NaN,0
-917,-2746,2497,19134,29680,9,65616,0.0240864025060638,71.7956683687806,NaN,NaN,NaN,0
-952,-2760,2388,19184,29922,9,65642,0.0241080677373193,71.820459520269,NaN,NaN,NaN,0
-880,-2746,2287,19138,29979,9,65577,0.0241640128121639,72.102967274726,NaN,NaN,NaN,0
-983,-2736,2433,19108,29834,9,65478,0.0242418472242813,71.1468130341028,NaN,NaN,NaN,0
-467,-2709,742,19100,32232,9,65564,0.0242879993435355,72.3945022388666,NaN,NaN,NaN,0
-928,-2764,2366,19183,29937,9,65651,0.0243293446368992,71.5945515055732,NaN,NaN,NaN,0
-962,-2757,2262,19177,30179,9,65619,0.0243626986887694,72.1839057811689,NaN,NaN,NaN,0
-899,-2780,2281,19150,30002,9,65506,0.0244061796794812,72.3952614698287,NaN,NaN,NaN,0
-939,-2755,2292,19180,30083,9,65639,0.0244275106610956,71.8859655882169,NaN,NaN,NaN,0
-505,-2661,954,19078,31916,9,65648,0.0244447268858489,72.3956654706615,NaN,NaN,NaN,0
-440,-2704,620,19096,32410,9,65554,0.0244825296166085,71.9463666192029,NaN,NaN,NaN,0
-941,-2633,2417,19056,29842,9,65640,0.0245429631264417,71.4880622894052,NaN,NaN,NaN,0
-906,-2778,2333,19145,29931,9,65519,0.0246384550531729,72.3956737414786,NaN,NaN,NaN,0
-503,-2744,673,19120,32351,9,65443,0.0232580274501912,70.9305880708044,NaN,NaN,NaN,0
-934,-2709,2407,19113,29819,9,65573,0.0248600073262597,72.3965348541975,NaN,NaN,NaN,0
-873,-2729,2358,19126,29870,9,65634,0.0248993821235011,72.3970898403648,NaN,NaN,NaN,0
-441,-2699,654,19095,32352,9,65570,0.0249911422049163,72.3952493474804,NaN,NaN,NaN,0
-505,-2744,746,19117,32233,9,65461,0.0250512469267871,72.3943316027295,NaN,NaN,NaN,0
-911,-2742,2266,19151,30130,9,65658,0.025149531322371,72.3770813513928,NaN,NaN,NaN,0
-495,-2771,701,19130,32299,9,65429,0.025159657238613,72.3940895476719,NaN,NaN,NaN,0
-937,-2787,2231,19192,30229,9,65627,0.0253681623224071,72.2496284452116,NaN,NaN,NaN,0
-922,-2799,2336,19195,30029,9,65649,0.0254284564851806,71.5854499125117,NaN,NaN,NaN,0
-483,-2806,767,19163,32165,9,65447,0.0254798544254111,72.3946262660239,NaN,NaN,NaN,0
-927,-2729,2435,19148,29796,9,65650,0.0221398692997221,70.8298559897662,NaN,0.0221399783662799,70.8294949867159,0
-953,-2778,2376,19188,29979,9,65645,0.025591018275498,72.371716987794,NaN,NaN,NaN,0
-943,-2772,2346,19188,30011,9,65649,0.0256834449664049,72.3723957034044,NaN,NaN,NaN,0
-913,-2748,2327,19112,29965,9,65521,0.0259586983061406,71.4144708258294,NaN,NaN,NaN,0
-926,-2721,2373,19108,29880,9,65548,0.026045095860842,72.3975302185277,NaN,NaN,NaN,0
-936,-2824,2294,19221,30121,9,65631,0.0260870062147034,72.3658430875983,NaN,NaN,NaN,0
-988,-2760,2424,19184,29922,9,65642,0.026151469151583,72.3696079626595,NaN,NaN,NaN,0
