variant,physical_lut,primitive_cells,direct_modules,endpoint_modules,classification
LUT239,SLICE_X31Y56/DLUT,interp128_all2x_LUT3_26,,FIR2/3级,FIR2/3级
LUT239,SLICE_X31Y57/ALUT,job_result_pending_i_1;u_stage23_dsp48e1_i_14,2→4倍桥接量化;FIR2/3级,FIR2/3级,滤波器核心跨级/共享逻辑
LUT239,SLICE_X31Y57/BLUT,interp128_all2x_LUT5_6,,2→4倍桥接量化;FIR1级;FIR2/3级,滤波器核心跨级/共享逻辑
LUT239,SLICE_X31Y57/CLUT,interp128_all2x_LUT5_7,,2→4倍桥接量化;FIR1级;FIR2/3级,滤波器核心跨级/共享逻辑
LUT239,SLICE_X31Y57/DLUT,interp128_all2x_LUT3_24,,FIR2/3级,FIR2/3级
LUT239,SLICE_X31Y58/ALUT,interp128_all2x_LUT3_29,,2→4倍桥接量化;FIR2/3级,滤波器核心跨级/共享逻辑
LUT239,SLICE_X31Y58/BLUT,job_output_pending_i_1;job_saturation_pending_i_1,FIR2/3级,FIR2/3级,FIR2/3级
LUT239,SLICE_X32Y53/ALUT,interp128_all2x_LUT2_69,,FIR2/3级,FIR2/3级
LUT239,SLICE_X32Y53/BLUT,gen_primitive.u_stage23_history_ramb18e1_i_35;job_history_head[0]_i_1,2→4倍桥接量化,FIR2/3级,2→4倍桥接量化
LUT239,SLICE_X32Y54/ALUT,interp128_all2x_LUT3_25,,FIR2/3级,FIR2/3级
LUT239,SLICE_X32Y54/BLUT,job_history_head[3]_i_1;job_phase_i_2,2→4倍桥接量化,FIR2/3级,2→4倍桥接量化
LUT239,SLICE_X32Y54/CLUT,interp128_all2x_LUT3_20,,FIR2/3级,FIR2/3级
LUT239,SLICE_X32Y55/ALUT,gen_primitive.u_stage23_history_ramb18e1_i_31;gen_primitive.u_stage23_history_ramb18e1_i_32,2→4倍桥接量化,FIR2/3级,2→4倍桥接量化
LUT239,SLICE_X32Y55/BLUT,interp128_all2x_LUT6_3,,FIR2/3级,FIR2/3级
LUT239,SLICE_X32Y55/CLUT,interp128_all2x_LUT6_4,,FIR2/3级,FIR2/3级
LUT239,SLICE_X32Y55/DLUT,interp128_all2x_LUT6_9,,FIR2/3级,FIR2/3级
LUT239,SLICE_X32Y56/ALUT,job_mac_index[0]_i_1;job_mac_index[1]_i_1,2→4倍桥接量化,FIR2/3级,2→4倍桥接量化
LUT239,SLICE_X32Y56/BLUT,interp128_all2x_LUT3_22;interp128_all2x_LUT4_47,,FIR2/3级;FIR共享系数存储,滤波器核心跨级/共享逻辑
LUT239,SLICE_X32Y57/ALUT,interp128_all2x_LUT6_16,,FIR2/3级,FIR2/3级
LUT239,SLICE_X32Y57/BLUT,interp128_all2x_LUT2_70;interp128_all2x_LUT2_71,,FIR2/3级,FIR2/3级
LUT239,SLICE_X32Y58/ALUT,stage3_y_out_valid_i_1;u_stage23_dsp48e1_i_16,2→4倍桥接量化,FIR2/3级,2→4倍桥接量化
LUT239,SLICE_X33Y53/ALUT,interp128_all2x_LUT1_116,,FIR2/3级,FIR2/3级
LUT239,SLICE_X33Y53/BLUT,job_history_head[1]_i_1;stage2_head[1]_i_1,2→4倍桥接量化,FIR2/3级,2→4倍桥接量化
LUT239,SLICE_X33Y54/ALUT,stage3_head[0]_i_1;stage3_head[1]_i_1,2→4倍桥接量化,FIR2/3级,2→4倍桥接量化
LUT239,SLICE_X33Y54/BLUT,stage3_head[2]_i_1;stage3_head[3]_i_2,2→4倍桥接量化,FIR2/3级,2→4倍桥接量化
LUT239,SLICE_X33Y55/ALUT,interp128_all2x_LUT1_74,,FIR2/3级,FIR2/3级
LUT239,SLICE_X33Y55/BLUT,interp128_all2x_LUT2_32,,2→4倍桥接量化;FIR2/3级,滤波器核心跨级/共享逻辑
LUT239,SLICE_X33Y56/ALUT,stage2_pending_i_1;stage3_pending_i_1,FIR2/3级,FIR2/3级,FIR2/3级
LUT239,SLICE_X33Y57/ALUT,interp128_all2x_LUT5_25,,FIR2/3级,FIR2/3级
LUT239,SLICE_X34Y58/ALUT,interp128_all2x_LUT3_7;interp128_all2x_LUT3_9,,FIR2/3级,FIR2/3级
LUT239,SLICE_X34Y59/ALUT,interp128_all2x_LUT3_10;interp128_all2x_LUT3_11,,FIR2/3级,FIR2/3级
LUT239,SLICE_X36Y57/ALUT,interp128_all2x_LUT3_1;interp128_all2x_LUT3_15,,FIR2/3级,FIR2/3级
LUT239,SLICE_X36Y57/BLUT,interp128_all2x_LUT3_3;interp128_all2x_LUT3_5,,FIR2/3级,FIR2/3级
LUT239,SLICE_X36Y57/CLUT,interp128_all2x_LUT3_12;interp128_all2x_LUT3_14,,FIR2/3级,FIR2/3级
LUT239,SLICE_X36Y58/ALUT,interp128_all2x_LUT3_4;interp128_all2x_LUT3_6,,FIR2/3级,FIR2/3级
LUT239,SLICE_X37Y59/ALUT,comb_active_i_1;comb_stage_index_i_1,16倍CIC插值,16倍CIC插值;FIR2/3级,16倍CIC插值
LUT239,SLICE_X38Y56/ALUT,interp128_all2x_LUT4_30,,16倍CIC插值,16倍CIC插值
LUT239,SLICE_X38Y57/ALUT,interp128_all2x_LUT3;interp128_all2x_LUT3_18,,FIR2/3级,FIR2/3级
LUT239,SLICE_X38Y57/BLUT,interp128_all2x_LUT3_17;interp128_all2x_LUT3_2,,FIR2/3级,FIR2/3级
LUT239,SLICE_X38Y57/CLUT,interp128_all2x_LUT3_16;interp128_all2x_LUT3_8,,FIR2/3级,FIR2/3级
LUT239,SLICE_X38Y57/DLUT,interp128_all2x_LUT3_13,,FIR2/3级,FIR2/3级
LUT239,SLICE_X38Y59/ALUT,interp128_all2x_LUT2,,16倍CIC插值;FIR2/3级,16倍CIC插值
LUT239,SLICE_X39Y56/ALUT,interp128_all2x_LUT2_1;interp128_all2x_LUT4,,16倍CIC插值;FIR2/3级,16倍CIC插值
LUT239,SLICE_X39Y56/BLUT,interp128_all2x_LUT2_2;interp128_all2x_LUT4_1,,16倍CIC插值;FIR2/3级,16倍CIC插值
LUT239,SLICE_X39Y56/CLUT,interp128_all2x_LUT2_3;interp128_all2x_LUT4_2,,16倍CIC插值;FIR2/3级,16倍CIC插值
LUT239,SLICE_X39Y56/DLUT,interp128_all2x_LUT2_4;interp128_all2x_LUT4_3,,16倍CIC插值;FIR2/3级,16倍CIC插值
LUT239,SLICE_X39Y57/ALUT,interp128_all2x_LUT2_5;interp128_all2x_LUT4_4,,16倍CIC插值;FIR2/3级,16倍CIC插值
LUT239,SLICE_X39Y57/BLUT,interp128_all2x_LUT2_6;interp128_all2x_LUT4_5,,16倍CIC插值;FIR2/3级,16倍CIC插值
LUT239,SLICE_X39Y57/CLUT,interp128_all2x_LUT2_7;interp128_all2x_LUT4_6,,16倍CIC插值;FIR2/3级,16倍CIC插值
